arm,seed,step,loss,best_so_far,cumulative_cost,stable
random,1,10,0.49355999581198634,0.2543751148983717,786.37,True
random,1,11,0.20435642828447367,0.20435642828447367,951.99,True
random,1,12,0.293696419525898,0.20435642828447367,1158.05,True
random,1,13,0.2642348742906443,0.20435642828447367,1279.47,True
random,1,14,0.3758583308833514,0.20435642828447367,1300.33,True
random,1,15,0.42719689020248297,0.20435642828447367,1374.82,True
random,1,16,0.2592903559872418,0.20435642828447367,1420.7,True
random,1,17,0.23443707546981618,0.20435642828447367,1525.19,True
random,1,18,0.3561362326645734,0.20435642828447367,1621.38,True
random,1,19,0.3975530809340728,0.20435642828447367,1766.04,True
random,1,20,0.24386299785240217,0.20435642828447367,1852.48,True
random,1,21,0.36050907248140684,0.20435642828447367,1885.77,True
random,1,22,0.18256739577304396,0.18256739577304396,2064.55,True
random,1,23,0.37382313747566775,0.18256739577304396,2097.04,True
random,1,24,0.1997470918725451,0.18256739577304396,2140.72,True
random,1,25,0.17513694920132317,0.17513694920132317,2328.22,True
random,1,26,0.44203334845347464,0.17513694920132317,2507.88,True
random,1,27,0.20192209343156803,0.17513694920132317,2642.56,True
random,1,28,,0.17513694920132317,2697.23,False
random,1,29,,0.17513694920132317,2704.0,False
random,1,30,0.16345052363646312,0.16345052363646312,2897.65,True
random,1,31,0.20195857294440378,0.16345052363646312,3101.62,True
random,1,32,0.41257948775970216,0.16345052363646312,3303.76,True
random,1,33,0.177092050752338,0.16345052363646312,3489.35,True
random,1,34,0.21530106262139567,0.16345052363646312,3660.69,True
random,1,35,0.16212502305326826,0.16212502305326826,3856.02,True
random,2,1,0.8931872063961629,0.8931872063961629,23.06,True
random,2,2,0.8329952821934788,0.8329952821934788,74.02,True
random,2,3,0.5913962769001523,0.5913962769001523,137.23,True
random,2,4,0.5199352183938154,0.5199352183938154,238.72,True
random,2,5,0.35504508788689354,0.35504508788689354,309.67,True
random,2,6,,0.35504508788689354,311.52,False
random,2,7,0.36792310522607613,0.35504508788689354,384.82,True
random,2,8,0.5356435449087888,0.35504508788689354,438.18,True
random,2,9,,0.35504508788689354,440.41,False
random,2,10,0.5633323298913583,0.35504508788689354,548.69,True
random,2,11,0.3250103419979853,0.3250103419979853,628.71,True
random,2,12,0.7746082925001585,0.3250103419979853,672.63,True
random,2,13,0.285158712126229,0.285158712126229,769.82,True
random,2,14,0.26528330274008505,0.26528330274008505,884.6,True
random,2,15,0.30211741810963194,0.26528330274008505,1040.04,True
random,2,16,0.3572511302797443,0.26528330274008505,1167.36,True
random,2,17,0.907888162239442,0.26528330274008505,1223.52,True
random,2,18,0.20544122313301502,0.20544122313301502,1296.84,True
random,2,19,0.2083142767084893,0.20544122313301502,1324.93,True
random,2,20,0.2888502860851458,0.20544122313301502,1472.26,True
random,2,21,0.2670004804032549,0.20544122313301502,1500.09,True
random,2,22,0.19901244754491437,0.19901244754491437,1545.82,True
random,2,23,0.2003240361318961,0.19901244754491437,1597.27,True
random,2,24,0.7660931840129026,0.19901244754491437,1682.46,True
random,2,25,0.19688545200631563,0.19688545200631563,1720.55,True
random,2,26,0.2724482598668244,0.19688545200631563,1745.63,True
random,2,27,0.2986965446634913,0.19688545200631563,1778.87,True
random,2,28,,0.19688545200631563,1779.97,False
random,2,29,0.2233695700535137,0.19688545200631563,1811.57,True
random,2,30,0.3057707909974357,0.19688545200631563,1830.94,True
random,2,31,0.4411024552494037,0.19688545200631563,1861.32,True
random,2,32,0.2193365883447073,0.19688545200631563,1959.66,True
random,2,33,0.1978896553934501,0.19688545200631563,1991.59,True
random,2,34,0.19566448210388765,0.19566448210388765,2146.97,True
random,2,35,0.3200017094275839,0.19566448210388765,2237.6,True
random,3,1,1.0407997775710585,1.0407997775710585,37.3,True
