epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,dhvap_kj_mol
4.0,0.44,1.1159,True,,0.24835478041448267,776.1215448259625,80.67493808665365
4.0,0.45,1.1159,False,blowup,,,
4.25,0.3,1.1159,False,min_image,,,
4.25,0.31,1.1159,False,min_image,,,
4.25,0.32,1.1159,True,,0.20759915338398865,1601.4351039040869,78.02321159783935
4.25,0.33,1.1159,True,,0.16044700280493737,1495.3645661893606,78.93451287922788
4.25,0.34,1.1159,True,,0.12120910471235294,1409.2628977121922,79.84945000831607
4.25,0.35,1.1159,True,,0.07713507566451563,1311.0309347226394,80.7673722523895
4.25,0.36,1.1159,True,,0.0591678811907555,1237.2740583119014,81.75914801808302
4.25,0.37,1.1159,True,,0.0843883882081505,1162.3651278804537,82.58598385062926
4.25,0.38,1.1159,True,,0.10770149789073485,1092.7652998706849,83.37604330232847
4.25,0.39,1.1159,True,,0.12700286212128675,1036.1774159427223,83.95529405674549
4.25,0.4,1.1159,True,,0.14258287344333093,983.1703734843068,84.9528858929197
4.25,0.41,1.1159,True,,0.15987471757433575,928.8717634397126,85.73232264033466
4.25,0.42,1.1159,True,,0.17506204800122765,883.5300064881637,86.24707456318622
4.25,0.43,1.1159,True,,0.1918698475840367,834.7002206206726,86.71913459564843
4.25,0.44,1.1159,True,,0.20196092332145726,797.3850630963318,87.58096896299145
4.25,0.45,1.1159,False,blowup,,,
4.5,0.3,1.1159,False,min_image,,,
4.5,0.31,1.1159,False,min_image,,,
4.5,0.32,1.1159,True,,0.19637625199648076,1653.7892704552016,83.85172144641747
4.5,0.33,1.1159,True,,0.14574541062504406,1541.0602202170287,84.91464044722545
4.5,0.34,1.1159,True,,0.11150478769797233,1482.7105440808107,86.92693244646567
4.5,0.35,1.1159,True,,0.06740639310081281,1373.6685545341802,87.06757242403286
4.5,0.36,1.1159,True,,0.035512808491,1322.3310601992184,89.15978271201949
4.5,0.37,1.1159,True,,0.011571872442982791,1271.1645076344967,89.81697245340891
4.5,0.38,1.1159,True,,0.0437476701353421,1156.3071102495135,90.42067432724177
4.5,0.39,1.1159,True,,0.051375337693473425,1143.6304669394444,92.05086175541992
4.5,0.4,1.1159,True,,0.0950828644549611,1038.1527316221097,92.37810944397201
4.5,0.41,1.1159,True,,0.08195572254687222,1114.950132205936,95.5425006506542
4.5,0.42,1.1159,True,,0.13206469875242963,980.4559842717873,94.93651783722433
4.5,0.43,1.1159,True,,0.168116922747396,873.6983031635828,93.7779423588802
4.5,0.44,1.1159,False,blowup,,,
4.5,0.45,1.1159,False,blowup,,,
4.75,0.3,1.1159,False,min_image,,,
4.75,0.31,1.1159,False,min_image,,,
4.75,0.32,1.1159,False,min_image,,,
4.75,0.33,1.1159,True,,0.1531487575264646,1624.7981041779824,92.37734319578891
4.75,0.34,1.1159,True,,0.12660001351376488,1540.5902864549146,93.63488009189776
4.75,0.35,1.1159,True,,0.14196729234295624,1537.55383824581,96.65130270517145
4.75,0.36,1.1159,True,,0.12804231563924978,1483.8644016175617,97.99945752771814
4.75,0.37,1.1159,True,,0.12692112227012148,1440.0976098479027,100.96035428482205
4.75,0.38,1.1159,True,,0.17851447188507488,1509.5475168384426,105.32813989683262
4.75,0.39,1.1159,True,,0.16114063890169295,1452.6177944200563,106.28292106378174
4.75,0.4,1.1159,True,,0.16941150842831748,1425.0216938369706,109.78380510359435
4.75,0.41,1.1159,True,,0.14913666072641865,1356.1390751546717,111.07496392490756
4.75,0.42,1.1159,True,,0.11925120037191603,1273.9011171600102,111.5827699127293
4.75,0.43,1.1159,True,,0.13828225085799833,1218.4918739364932,113.28145144908392
4.75,0.44,1.1159,False,blowup,,,
4.75,0.45,1.1159,False,blowup,,,
5.0,0.3,1.1159,False,min_image,,,
5.0,0.31,1.1159,False,min_image,,,
5.0,0.32,1.1159,False,min_image,,,
5.0,0.33,1.1159,False,min_image,,,
5.0,0.34,1.1159,False,min_image,,,
5.0,0.35,1.1159,False,min_image,,,
5.0,0.36,1.1159,False,min_image,,,
5.0,0.37,1.1159,False,min_image,,,
5.0,0.38,1.1159,False,min_image,,,
5.0,0.39,1.1159,True,,0.29675354792431524,1609.0361940611797,119.65322259796652
5.0,0.4,1.1159,True,,0.32856378476237463,1613.310854226806,125.13356771530961
5.0,0.41,1.1159,True,,0.2572565573482197,1459.67914356645,123.26538346872776
5.0,0.42,1.1159,True,,0.24804540424906002,1420.5797140077625,124.4163916926023
5.0,0.43,1.1159,True,,0.1974996657410258,1290.0217685763382,124.6582410240158
5.0,0.44,1.1159,True,,0.20054833372366113,1202.6528434622478,123.46849409551349
5.0,0.45,1.1159,False,blowup,,,
5.25,0.3,1.1159,False,min_image,,,
5.25,0.31,1.1159,False,min_image,,,
5.25,0.32,1.1159,False,min_image,,,
5.25,0.33,1.1159,False,min_image,,,
5.25,0.34,1.1159,False,min_image,,,
5.25,0.35,1.1159,False,min_image,,,
5.25,0.36,1.1159,False,min_image,,,
5.25,0.37,1.1159,False,min_image,,,
5.25,0.38,1.1159,False,min_image,,,
5.25,0.39,1.1159,False,min_image,,,
5.25,0.4,1.1159,False,min_image,,,
5.25,0.41,1.1159,False,blowup,,,
5.25,0.42,1.1159,False,blowup,,,
5.25,0.43,1.1159,True,,0.3209610311301615,1406.968051901393,138.67135019348123
5.25,0.44,1.1159,False,blowup,,,
5.25,0.45,1.1159,False,blowup,,,
5.5,0.3,1.1159,False,min_image,,,
5.5,0.31,1.1159,False,min_image,,,
5.5,0.32,1.1159,False,min_image,,,
5.5,0.33,1.1159,False,min_image,,,
5.5,0.34,1.1159,False,min_image,,,
5.5,0.35,1.1159,False,min_image,,,
5.5,0.36,1.1159,False,min_image,,,
5.5,0.37,1.1159,False,min_image,,,
5.5,0.38,1.1159,False,min_image,,,
5.5,0.39,1.1159,False,min_image,,,
5.5,0.4,1.1159,False,min_image,,,
5.5,0.41,1.1159,False,min_image,,,
5.5,0.42,1.1159,False,blowup,,,
5.5,0.43,1.1159,False,blowup,,,
5.5,0.44,1.1159,False,blowup,,,
5.5,0.45,1.1159,False,blowup,,,
5.75,0.3,1.1159,False,min_image,,,
5.75,0.31,1.1159,False,min_image,,,
5.75,0.32,1.1159,False,min_image,,,
5.75,0.33,1.1159,False,min_image,,,
5.75,0.34,1.1159,False,min_image,,,
5.75,0.35,1.1159,False,min_image,,,
5.75,0.36,1.1159,False,min_image,,,
5.75,0.37,1.1159,False,min_image,,,
5.75,0.38,1.1159,False,min_image,,,
5.75,0.39,1.1159,False,min_image,,,
5.75,0.4,1.1159,False,min_image,,,
5.75,0.41,1.1159,False,min_image,,,
5.75,0.42,1.1159,False,blowup,,,
5.75,0.43,1.1159,False,blowup,,,
5.75,0.44,1.1159,False,blowup,,,
5.75,0.45,1.1159,False,blowup,,,
6.0,0.3,1.1159,False,min_image,,,
6.0,0.31,1.1159,False,min_image,,,
6.0,0.32,1.1159,False,min_image,,,
6.0,0.33,1.1159,False,min_image,,,
6.0,0.34,1.1159,False,min_image,,,
6.0,0.35,1.1159,False,min_image,,,
6.0,0.36,1.1159,False,min_image,,,
6.0,0.37,1.1159,False,min_image,,,
6.0,0.38,1.1159,False,min_image,,,
6.0,0.39,1.1159,False,min_image,,,
6.0,0.4,1.1159,False,min_image,,,
6.0,0.41,1.1159,False,min_image,,,
6.0,0.42,1.1159,False,blowup,,,
6.0,0.43,1.1159,False,blowup,,,
