arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
"BO, multi-output + constraints",gp_multi,0,60,True,,1.2699612790488468,0.067946,1.157225,0.281163,0.352663,1269.078896,163.915511,7.471963
"BO, multi-output + constraints",gp_multi,0,61,True,,1.8531183440643373,0.079329,2.940521,0.280771,0.203705,2310.155491,147.261959,9.220181
"BO, multi-output + constraints",gp_multi,0,62,True,,5.460301805386344,0.095692,7.564498,0.376499,0.299536,4017.520103,153.285335,141.5129
"BO, multi-output + constraints",gp_multi,0,63,False,blowup,,0.005555,2.729302,0.381094,0.268977,405.442923,147.432102,146.210548
"BO, multi-output + constraints",gp_multi,0,64,True,,1.4195759116860065,0.097982,1.983978,0.321846,0.20092,797.721687,170.916101,47.230511
"BO, multi-output + constraints",gp_multi,0,65,True,,3.240669812739223,0.082978,3.826858,0.384293,0.352878,1076.663131,137.591174,8.823042
"BO, multi-output + constraints",gp_multi,0,66,True,,0.458016213428407,0.064635,2.014193,0.385362,0.232119,1483.591198,125.948892,143.368502
"BO, multi-output + constraints",gp_multi,0,67,True,,0.8734264685653909,0.06634,3.628679,0.309152,0.380706,1464.546296,128.912951,145.494452
"BO, multi-output + constraints",gp_multi,0,68,False,blowup,,0.024615,1.853688,0.418185,0.226577,439.415362,141.425084,88.612556
"BO, multi-output + constraints",gp_multi,0,69,True,,1.4586303158131915,0.066821,1.111455,0.40864,0.223454,1378.162171,142.608405,65.984768
"BO, multi-output + constraints",gp_multi,0,70,False,blowup,,0.033964,7.989381,0.381892,0.212649,5452.184889,117.057424,142.164986
"BO, multi-output + constraints",gp_multi,0,71,True,,1.2687304320440922,0.07079,4.021271,0.28118,0.396458,2218.90761,164.625245,6.315201
"BO, multi-output + constraints",gp_multi,0,72,True,,0.44764054813130155,0.082936,2.533795,0.300411,0.389789,2304.382782,152.396658,21.756576
"BO, multi-output + constraints",gp_multi,0,73,True,,2.8030061505617443,0.064915,7.594406,0.368567,0.231014,4200.764631,117.999311,132.091994
"BO, multi-output + constraints",gp_multi,0,74,True,,0.7331403253432437,0.067516,2.801897,0.282078,0.339725,5509.457158,169.081685,14.602804
"BO, multi-output + constraints",gp_multi,0,75,True,,2.7603794081754156,0.067294,2.390513,0.379028,0.286666,2452.898131,164.463137,40.880279
"BO, multi-output + constraints",gp_multi,0,76,False,blowup,,0.004168,6.073099,0.381892,0.39911,1161.02354,162.562531,50.098568
"BO, multi-output + constraints",gp_multi,0,77,True,,2.07586787869156,0.07228,2.669195,0.353509,0.323528,5814.195919,139.577731,35.372006
"BO, multi-output + constraints",gp_multi,0,78,True,,2.5325469299366694,0.071006,3.156937,0.282455,0.208171,1102.419171,105.116949,147.70157
"BO, multi-output + constraints",gp_multi,0,79,True,,0.4956425510697797,0.06691,2.426318,0.357551,0.239064,2743.78506,163.166127,17.045787
"BO, multi-output + constraints",gp_multi,0,80,False,blowup,,0.00411,4.503739,0.354552,0.352127,437.85469,137.808018,122.008353
"BO, multi-output + constraints",gp_multi,0,81,True,,1.4807479583216518,0.067922,3.437148,0.320995,0.399297,805.04077,158.076537,9.014726
"BO, multi-output + constraints",gp_multi,0,82,True,,1.4569830717687096,0.069036,4.233049,0.340206,0.344062,763.838133,134.60817,124.835563
"BO, multi-output + constraints",gp_multi,0,83,True,,0.8312735345313056,0.066055,3.318836,0.349751,0.269121,2529.090928,121.668662,139.861499
"BO, multi-output + constraints",gp_multi,0,84,True,,2.8033070536435702,0.066011,7.692446,0.336913,0.391889,5652.975885,171.786942,57.705876
"BO, multi-output + constraints",gp_multi,0,85,True,,4.211694808238661,0.068744,3.93709,0.447199,0.210016,5359.158459,159.057159,32.826473
"BO, multi-output + constraints",gp_multi,0,86,True,,0.9425752868245783,0.064047,4.378693,0.412192,0.211133,5666.331767,132.903729,131.190378
"BO, multi-output + constraints",gp_multi,0,87,True,,1.6427726695294238,0.066144,1.366695,0.368843,0.289738,1020.884307,160.376337,30.345475
"BO, multi-output + constraints",gp_multi,0,88,False,blowup,,0.003808,3.679359,0.360858,0.395904,661.237221,129.27009,57.116923
"BO, multi-output + constraints",gp_multi,0,89,False,blowup,,0.003384,1.644141,0.435148,0.235139,533.771799,174.350274,35.691441
"BO, multi-output + constraints",gp_multi,0,90,True,,1.7535298693246084,0.064754,7.30248,0.289948,0.2006,5542.596068,172.606026,127.265692
"BO, multi-output + constraints",gp_multi,0,91,False,blowup,,0.014114,1.089964,0.300466,0.200695,847.700394,120.166394,120.088421
"BO, multi-output + constraints",gp_multi,0,92,True,,0.7330683168029591,0.067689,6.075752,0.335019,0.387713,5938.396717,117.326316,146.486462
"BO, multi-output + constraints",gp_multi,0,93,True,,1.2105140853740022,0.069268,1.219973,0.310042,0.399496,5595.765845,156.33685,15.282187
"BO, multi-output + constraints",gp_multi,0,94,True,,0.9025329434821839,0.075973,2.598389,0.284854,0.393548,3582.142859,113.460856,67.132108
"BO, multi-output + constraints",gp_multi,0,95,False,blowup,,0.004558,3.093826,0.428362,0.243282,677.176603,149.19427,71.786249
"BO, multi-output + constraints",gp_multi,0,96,True,,1.3497683925130333,0.092449,7.858312,0.280193,0.269284,4900.605155,122.06312,148.341439
"BO, multi-output + constraints",gp_multi,0,97,False,blowup,,0.003848,2.953542,0.438565,0.228002,606.30601,140.748391,65.133962
"BO, multi-output + constraints",gp_multi,0,98,True,,0.8646172684222764,0.069491,2.176905,0.318334,0.254776,2188.871717,132.547948,42.654402
"BO, multi-output + constraints",gp_multi,0,99,True,,1.1298801061570756,0.07044,6.016302,0.282961,0.376403,1857.605684,120.476991,133.931539
"BO, multi-output + constraints",gp_multi,0,100,True,,1.0086674114664094,0.073569,2.764635,0.339153,0.376467,574.560951,95.071843,88.916716
"BO, multi-output + constraints",gp_multi,0,101,True,,1.2999931442943182,0.069265,1.782301,0.287502,0.253621,5931.862802,170.729458,14.031084
"BO, multi-output + constraints",gp_multi,0,102,True,,0.9003169272592628,0.070105,2.341106,0.388672,0.213396,5594.673885,174.643922,19.006524
"BO, multi-output + constraints",gp_multi,0,103,True,,1.6342681898833866,0.06663,5.177113,0.365852,0.330506,1363.350629,147.719999,106.701788
"BO, multi-output + constraints",gp_multi,0,104,False,blowup,,0.005586,1.199688,0.40364,0.217323,1054.74468,112.775424,92.400639
"BO, multi-output + constraints",gp_multi,0,105,True,,0.7824553780336309,0.067001,2.259023,0.346963,0.254445,5175.065347,104.241075,148.050782
"BO, multi-output + constraints",gp_multi,0,106,True,,0.3452553219227574,0.06701,2.613782,0.305995,0.399053,2429.571845,133.86921,85.251838
"BO, multi-output + constraints",gp_multi,0,107,True,,1.543259816040318,0.067738,1.749474,0.42249,0.205823,2431.055735,157.1203,57.578177
"BO, multi-output + constraints",gp_multi,0,108,True,,0.4694057121352748,0.065514,2.097698,0.363601,0.250384,777.877276,127.17456,59.097331
"BO, multi-output + constraints",gp_multi,0,109,True,,0.5423033590295993,0.066781,2.311489,0.391304,0.205169,4009.202735,132.490181,147.240756
"BO, multi-output + constraints",gp_multi,0,110,True,,0.7263686456596401,0.064721,2.994575,0.323977,0.29725,2941.601256,135.43987,51.137247
"BO, multi-output + constraints",gp_multi,0,111,False,blowup,,0.004299,3.813065,0.288185,0.375055,4148.538577,129.08542,144.087433
"BO, multi-output + constraints",gp_multi,0,112,True,,1.0324066341943354,0.069902,4.129162,0.281432,0.372539,5450.605233,160.415621,148.249346
"BO, multi-output + constraints",gp_multi,0,113,True,,0.3800962496353261,0.068509,2.360043,0.310684,0.342423,5765.519698,132.207608,29.757956
"BO, multi-output + constraints",gp_multi,0,114,True,,0.4349527923835665,0.07578,2.142356,0.366386,0.216788,3388.129641,120.350677,132.260205
"BO, multi-output + constraints",gp_multi,0,115,True,,1.036547152079621,0.075907,1.105499,0.37782,0.203641,1492.437979,169.680079,13.651854
"BO, multi-output + constraints",gp_multi,0,116,True,,1.6189087315552158,0.076779,1.89363,0.421395,0.208778,558.228943,155.259355,44.587829
"BO, multi-output + constraints",gp_multi,0,117,True,,0.34600448643666526,0.069231,2.674971,0.316179,0.324975,4325.077892,129.274237,127.231999
"BO, multi-output + constraints",gp_multi,0,118,True,,0.5533264570656892,0.064671,2.890545,0.330163,0.304194,5912.441198,163.380119,12.152636
"BO, multi-output + constraints",gp_multi,0,119,True,,1.6616377438180348,0.047851,2.90132,0.422671,0.223365,1352.52095,121.946668,115.41216
"BO, multi-output + constraints",gp_multi,0,120,True,,0.6412168621071834,0.050242,3.016547,0.31156,0.247309,3330.057486,129.329195,115.89133
"BO, multi-output + constraints",gp_multi,0,121,True,,0.7941808212802913,0.046582,2.948073,0.336373,0.228611,4022.31487,117.640675,146.725839
"BO, multi-output + constraints",gp_multi,0,122,False,blowup,,0.002708,1.309107,0.415055,0.23085,935.767686,132.137491,146.868183
"BO, multi-output + constraints",gp_multi,0,123,True,,0.16317236025897458,0.04713,3.376396,0.328595,0.354185,815.176149,124.842919,57.363031
"BO, multi-output + constraints",gp_multi,0,124,True,,0.7167393747323206,0.049911,3.063646,0.337722,0.319625,5784.466829,135.102591,73.457655
"BO, multi-output + constraints",gp_multi,0,125,True,,1.7133842454807824,0.0488,3.01916,0.412161,0.271041,647.896336,174.961302,42.133292
