x,y,loss,violations
3642.105263,20.263158,0.204703,
3642.105263,27.894737,0.193572,
3642.105263,35.526316,0.164231,
3642.105263,43.157895,0.176109,
3642.105263,50.789474,0.176731,
3642.105263,58.421053,0.163136,
3642.105263,66.052632,0.173616,
3642.105263,73.684211,0.171969,
3642.105263,81.315789,0.194187,
3642.105263,88.947368,0.189468,
3642.105263,96.578947,0.207393,
3642.105263,104.210526,0.197697,
3642.105263,111.842105,0.210883,
3642.105263,119.473684,0.181688,
3642.105263,127.105263,0.213945,
3642.105263,134.736842,,blowup
3642.105263,142.368421,0.23598,
3642.105263,150.0,0.221731,
3936.842105,5.0,2.339395,
3936.842105,12.631579,1.00448,
3936.842105,20.263158,0.236806,
3936.842105,27.894737,0.226118,
3936.842105,35.526316,0.15333,
3936.842105,43.157895,0.177533,
3936.842105,50.789474,0.214023,
3936.842105,58.421053,0.190657,
3936.842105,66.052632,0.170004,
3936.842105,73.684211,0.231874,
3936.842105,81.315789,0.19628,
3936.842105,88.947368,0.198602,
3936.842105,96.578947,0.221026,
3936.842105,104.210526,0.230117,
3936.842105,111.842105,0.209839,
3936.842105,119.473684,0.195816,
3936.842105,127.105263,0.24313,
3936.842105,134.736842,0.192389,
3936.842105,142.368421,0.245314,
3936.842105,150.0,0.21673,
4231.578947,5.0,2.325158,
4231.578947,12.631579,1.04463,
4231.578947,20.263158,0.241712,
4231.578947,27.894737,0.212355,
4231.578947,35.526316,0.208572,
4231.578947,43.157895,0.218114,
4231.578947,50.789474,0.211842,
4231.578947,58.421053,0.220625,
4231.578947,66.052632,0.228645,
4231.578947,73.684211,0.220717,
4231.578947,81.315789,0.227533,
4231.578947,88.947368,0.25785,
4231.578947,96.578947,0.212619,
4231.578947,104.210526,0.244615,
4231.578947,111.842105,0.190342,
4231.578947,119.473684,,blowup
4231.578947,127.105263,0.262711,
4231.578947,134.736842,0.22671,
4231.578947,142.368421,0.266682,
4231.578947,150.0,0.270411,
4526.315789,5.0,2.286194,
4526.315789,12.631579,0.923566,
4526.315789,20.263158,0.303108,
4526.315789,27.894737,0.231926,
4526.315789,35.526316,0.200646,
4526.315789,43.157895,0.224674,
4526.315789,50.789474,0.241167,
4526.315789,58.421053,0.232602,
4526.315789,66.052632,0.226357,
4526.315789,73.684211,0.22849,
4526.315789,81.315789,0.256382,
4526.315789,88.947368,0.239505,
4526.315789,96.578947,0.241672,
4526.315789,104.210526,0.27241,
4526.315789,111.842105,0.275399,
4526.315789,119.473684,0.253527,
4526.315789,127.105263,0.25701,
4526.315789,134.736842,0.260588,
4526.315789,142.368421,0.28845,
4526.315789,150.0,0.266464,
4821.052632,5.0,2.2784,
4821.052632,12.631579,1.191505,
4821.052632,20.263158,0.320888,
4821.052632,27.894737,0.244881,
4821.052632,35.526316,0.22386,
4821.052632,43.157895,0.225802,
4821.052632,50.789474,0.220069,
4821.052632,58.421053,0.224199,
4821.052632,66.052632,0.216853,
4821.052632,73.684211,0.216145,
4821.052632,81.315789,0.2572,
4821.052632,88.947368,0.240667,
4821.052632,96.578947,0.257921,
4821.052632,104.210526,0.257307,
4821.052632,111.842105,0.284182,
4821.052632,119.473684,0.272825,
4821.052632,127.105263,0.277478,
4821.052632,134.736842,0.257966,
4821.052632,142.368421,0.256536,
4821.052632,150.0,,blowup
5115.789474,5.0,2.282707,
5115.789474,12.631579,1.098149,
5115.789474,20.263158,0.269149,
5115.789474,27.894737,0.277474,
5115.789474,35.526316,0.248888,
5115.789474,43.157895,0.231214,
5115.789474,50.789474,0.224753,
5115.789474,58.421053,0.219665,
5115.789474,66.052632,0.263841,
5115.789474,73.684211,0.240081,
5115.789474,81.315789,0.244753,
5115.789474,88.947368,0.263581,
5115.789474,96.578947,0.260227,
5115.789474,104.210526,0.297109,
5115.789474,111.842105,0.262511,
5115.789474,119.473684,0.277367,
5115.789474,127.105263,,blowup
5115.789474,134.736842,0.28239,
5115.789474,142.368421,,blowup
5115.789474,150.0,0.301291,
5410.526316,5.0,2.320151,
5410.526316,12.631579,0.982087,
5410.526316,20.263158,0.299026,
5410.526316,27.894737,0.297029,
5410.526316,35.526316,0.23475,
5410.526316,43.157895,0.25548,
5410.526316,50.789474,0.224865,
5410.526316,58.421053,0.257501,
5410.526316,66.052632,0.251721,
5410.526316,73.684211,0.282152,
5410.526316,81.315789,0.272909,
5410.526316,88.947368,0.253084,
5410.526316,96.578947,0.279578,
5410.526316,104.210526,,blowup
5410.526316,111.842105,0.292113,
5410.526316,119.473684,0.305816,
5410.526316,127.105263,0.292509,
5410.526316,134.736842,0.305887,
5410.526316,142.368421,0.282347,
5410.526316,150.0,0.314408,
5705.263158,5.0,2.321325,
5705.263158,12.631579,1.059414,
5705.263158,20.263158,0.336166,
5705.263158,27.894737,0.292275,
5705.263158,35.526316,0.231368,
5705.263158,43.157895,0.243942,
5705.263158,50.789474,0.263505,
5705.263158,58.421053,0.257374,
5705.263158,66.052632,0.292042,
5705.263158,73.684211,0.252152,
5705.263158,81.315789,0.293094,
5705.263158,88.947368,0.27006,
5705.263158,96.578947,0.288701,
5705.263158,104.210526,0.296395,
5705.263158,111.842105,0.313037,
5705.263158,119.473684,0.296762,
5705.263158,127.105263,0.293073,
5705.263158,134.736842,0.298221,
5705.263158,142.368421,,blowup
5705.263158,150.0,,blowup
6000.0,5.0,2.343189,
6000.0,12.631579,1.03407,
6000.0,20.263158,0.303489,
6000.0,27.894737,0.307745,
6000.0,35.526316,0.262907,
6000.0,43.157895,0.262454,
6000.0,50.789474,0.267413,
6000.0,58.421053,0.260725,
6000.0,66.052632,0.264798,
6000.0,73.684211,0.285938,
6000.0,81.315789,0.284336,
6000.0,88.947368,0.299054,
6000.0,96.578947,0.291746,
6000.0,104.210526,0.320085,
6000.0,111.842105,0.30839,
6000.0,119.473684,0.302199,
6000.0,127.105263,,blowup
6000.0,134.736842,0.325675,
6000.0,142.368421,,blowup
6000.0,150.0,0.328926,
