epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.65385,0.42,17.69133,0.003166,5,0.0,
0.69231,0.3,1.092397,0.029929,5,0.0,
0.69231,0.30308,0.974377,0.087896,5,0.0,
0.69231,0.30615,0.94391,0.061637,5,0.0,
0.69231,0.30923,0.914903,0.066644,5,0.0,
0.69231,0.31231,0.817445,0.050935,5,0.0,
0.69231,0.31538,0.733889,0.034035,5,0.0,
0.69231,0.31846,0.638936,0.041589,5,0.0,
0.69231,0.32154,0.523426,0.028875,5,0.0,
0.69231,0.32462,0.528058,0.049138,5,0.0,
0.69231,0.32769,0.539662,0.0412,5,0.0,
0.69231,0.33077,0.504191,0.026794,5,0.0,
0.69231,0.33385,0.583885,0.04747,5,0.0,
0.69231,0.33692,0.609629,0.04275,5,0.0,
0.69231,0.34,0.685692,0.019101,5,0.0,
0.69231,0.34308,0.768395,0.020489,5,0.0,
0.69231,0.34615,0.857866,0.029253,5,0.0,
0.69231,0.34923,0.992914,0.025203,5,0.0,
0.69231,0.35231,1.172646,0.015938,5,0.0,
0.69231,0.35538,0.957547,0.08582,5,0.0,
0.69231,0.35846,1.03427,0.014056,5,0.0,
0.69231,0.36154,1.189517,0.014519,5,0.0,
0.69231,0.36462,1.420076,0.021343,5,0.0,
0.69231,0.36769,1.663358,0.011264,5,0.0,
0.69231,0.37077,1.955498,0.008678,5,0.0,
0.69231,0.37385,2.32146,0.013311,5,0.0,
0.69231,0.37692,2.719546,0.01166,5,0.0,
0.69231,0.38,3.197648,0.009308,5,0.0,
0.69231,0.38308,3.731948,0.00911,5,0.0,
0.69231,0.38615,4.350208,0.004918,5,0.0,
0.69231,0.38923,5.053417,0.010586,5,0.0,
0.69231,0.39231,5.841379,0.003457,5,0.0,
0.69231,0.39538,6.732593,0.004611,5,0.0,
0.69231,0.39846,7.731368,0.007448,5,0.0,
0.69231,0.40154,8.835116,0.005551,5,0.0,
0.69231,0.40462,10.073392,0.005273,5,0.0,
0.69231,0.40769,11.458187,0.003069,5,0.0,
0.69231,0.41077,12.980495,0.005505,5,0.0,
0.69231,0.41385,14.675921,0.00522,5,0.0,
0.69231,0.41692,16.534303,0.006243,5,0.0,
0.69231,0.42,18.591887,0.003542,5,0.0,
0.73077,0.3,1.168505,0.065608,5,0.0,
0.73077,0.30308,1.075352,0.098501,5,0.0,
0.73077,0.30615,0.959291,0.014553,5,0.0,
0.73077,0.30923,0.925569,0.045154,5,0.0,
0.73077,0.31231,0.853246,0.0178,5,0.0,
0.73077,0.31538,0.760213,0.077593,5,0.0,
0.73077,0.31846,0.6867,0.031522,5,0.0,
